MANDT,KUNNR,DUNS_CONF_CODE,CREATE_TS,CREATE_USER,UPDATE_TS,CAP_IND,COV_ELG_IND
100,0011900872,08,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011901043,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011901044,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011901211,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011901316,08,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011902204,06,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011902248,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,Y,Y
100,0011903174,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011903278,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011903732,06,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011903969,08,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011904094,05,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011904380,08,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011904446,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011904471,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011906208,05,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011906498,08,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,Y,Y
100,0011906557,06,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011908684,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011909301,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011909373,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011909629,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011909759,08,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,Y,Y
100,0011909907,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011910337,08,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011911224,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,Y,Y
100,0011911230,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,Y,Y
100,0011911242,08,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,Y,Y
100,0011911340,06,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,Y,Y
100,0011911895,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,Y,Y
100,0011912265,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011912689,07,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011913457,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,Y,Y
100,0011914820,08,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,Y,Y
100,0012194960,10,2020-03-05 15:22:44,LH_CREATE,2020-03-05 15:22:44,N,Y
100,0012195488,10,2020-03-05 15:22:44,LH_CREATE,2020-03-05 15:22:44,Y,Y
